13847,424,664,712
13900,496,596,936
13953,656,612,856
14006,500,420,560
14059,420,552,648
14165,444,632,784
14219,424,532,680
14272,448,524,648
14325,460,544,696
14378,488,556,788
14432,456,508,788
14432,456,508,788
14485,484,552,760
14538,448,532,760
14538,448,532,760
14591,408,520,776
14644,440,528,740
